Name,Position,Years,Height,Weight,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Draft_Status
Frank Gaines,Guard,2,75,195,20.6667,33.0806,20.4355,4.91935,1.19355,1.37097,0.548387,2.51613,2.77419,0
Marcus Marshall,Guard,3,75,190,26.3333,32.4304,15.4304,2.75949,2.73418,0.607595,0.0506329,1.51899,2,0
Dwan McMillan,Guard,2,72,180,21.5,28,5.69767,2.44186,4.39535,1.23256,0.0465116,2.55814,2.86047,0
Codi Miller-McIntyre,Guard,4,75,205,29.25,30.8462,11.359,3.7265,3.77778,0.794872,0.128205,2.17094,2.02564,0
George Odufuwa,Forward,4,80,240,20.6,26.0971,8.79612,8.38835,1.28155,0.68932,0.631068,1.90291,2.85437,0
Sergio Kerusch,Forward,3,77,225,28,28.2619,13.6667,7.54762,0.547619,0.488095,0.214286,1.29762,2.14286,0
Steve Zack,Center,4,83,245,30.75,23.374,6.29268,6.82927,1.06504,0.390244,1.37398,1.43089,2.43089,0
Robert Upshaw,Center,1,83,250,22,16.3636,4.13636,3.81818,0.272727,0.272727,1.77273,1,2.45455,0
Kenny George,Center,2,90,335,15.6667,15.0426,9.08511,5.25532,0.808511,0.0638298,2.53191,1.23404,1.12766,0
C.J Wilkerson,Guard,2,75,200,29,37.2586,17.6379,3.63793,2.25862,1.03448,0.0517241,3.22414,2.53448,0
Sebastian Saiz,Forward,4,81,240,32.25,26.0543,9.88372,7.82171,0.596899,0.806202,0.976744,1.36434,2.90698,0
Kenny Lawson Jr.,Center,5,81,250,27.4,19.7153,9.33577,5.38686,0.50365,0.284672,1.07299,1.10219,1.63504,0
Caleb Green,Forward,1,80,255,16,34.5938,20.8125,9.125,2.34375,1.28125,0.375,3.90625,2.84375,0
Jodie Meeks,Guard,3,76,208,24.3333,27.5342,15.274,2.9589,1.64384,1.08219,0.0958904,1.75342,1.64384,1
Glen Dean,Guard,4,70,175,23.4,28.1453,9.67521,2.35897,3.18803,0.623932,0,2.11111,2.36752,0
Justin Newton,Guard,4,72,190,28.5,20.7632,1.84211,2.68421,2.55263,1.17544,0.0701754,1.62281,2.35088,0
Preston Knowles,Guard,4,73,195,32.75,19.3435,7.73282,2.50382,1.77099,1.15267,0.129771,1.12977,1.83969,0
Rodney Elliott,Guard,4,73,190,21.5,26.7791,12.0233,3,2.9186,0.895349,0.0348837,2.52326,2.94186,0
Brandon Stewart,Guard,3,74,185,11.6667,20.2857,8.34286,3.28571,0.8,0.628571,0.0857143,1.71429,1.91429,0
Sultan Toles-Bey,Guard,2,70,170,29,32.431,11.2241,2.98276,4.03448,1.53448,0.12069,3.13793,1.98276,0
Elijah Johnson,Guard,4,76,195,33.75,22.5556,6.97778,2.31111,2.95556,0.844444,0.103704,1.72593,1.91111,0
Augustine Rubit,Forward,4,79,230,23.6,31.839,16.2458,10.0254,1.05085,0.601695,1.17797,2.27966,2.3983,0
Gary Ervin,Guard,2,71,169,21.6667,30.7385,9.70769,3.15385,4.41538,1.21538,0.123077,2.44615,1.86154,0
Tyler Ennis,Guard,1,74,180,34,34.5588,12.9412,3.44118,5.44118,2.08824,0.176471,1.73529,2.02941,1
Khem Birch,Forward,2,81,220,29.5,26.8136,9.64407,8.23729,0.932203,0.661017,3.25424,1.27119,2.16949,0
Keon Lewis,Guard,2,74,180,28.5,30.9825,14.0526,2.45614,2.85965,1.22807,0,2.33333,2.24561,0
Youssou Ndoye,Center,4,84,245,30.75,22.4797,7.89431,5.73171,0.471545,0.520325,1.69919,1.89431,2.69919,0
Al Fisher,Guard,2,73,185,32.5,32.3692,14.7385,3.58462,3.86154,1.46154,0.169231,3.8,2.2,0
JaMychal Green,Forward,4,80,228,29.75,27.2941,13.5714,7.40336,1.2437,0.991597,1.73109,2.57983,3.16807,0
Anatoly Bose,Guard,4,78,200,23.2,31.9224,17.4138,5.58621,1.77586,1.07759,0.163793,2.65517,2.2069,0
Javon McCrea,Forward,4,79,250,31.75,27.2835,15.7244,7.73228,1.94488,1.29134,1.9685,2.4252,2.88189,0
Elfrid Payton,Guard,3,75,180,33.3333,31.53,14.26,5.08,4.86,1.97,0.51,3.36,2.26,1
Randy Davis,Guard,4,71,180,29,26.3448,7.99138,2.90517,3.85345,1,0.12931,1.89655,2.18103,0
RaShid Gaston,Forward,4,81,239,30,23.4083,9.93333,7.06667,0.716667,0.233333,0.708333,1.575,2.41667,0
Jorge Brian Diaz,Center,3,83,244,20.25,25.4444,9.44444,4.22222,0.925926,0.45679,1.35802,1.61728,1.98765,0
Chris Harris,Guard,4,74,185,21.4,29.1589,13.8972,2.34579,2.17757,1.51402,0.0373832,2.16822,2.37383,0
