

57,Louis Labeyrie
58,Jordan McRae
59,Xavier Thames
60,Cory Jefferson
1,Karl-Anthony Towns
2,D'Angelo Russell
3,Jahlil Okafor
4,Kristaps Porzingis
5,Mario Hezonja
6,Willie Cauley-Stein
7,Emmanuel Mudiay
8,Stanley Johnson
9,Frank Kaminsky
10,Justise Winslow
11,Myles Turner
12,Trey Lyles
13,Devin Booker
14,Cameron Payne
15,Kelly Oubre
16,Terry Rozier
17,Rashad Vaughn
18,Sam Dekker
19,Jerian Grant
20,Delon Wright
21,Justin Anderson
22,Bobby Portis
23,Rondae Hollis-Jefferson
24,Tyus Jones
25,Jarell Martin
26,Nikola Milutinov
27,Larry Nance Jr.
28,R.J. Hunter
29,Chris McCullough
30,Kevon Looney
31,Cedi Osman
32,Montrezl Harrell
33,Jordan Mickey
34,Anthony Brown
35,Willy Hernangomez
36,Rakeem Christmas
37,Richaun Holmes
38,Darrun Hilliard
39,Juan Pablo Vaulet
40,Josh Richardson
41,Pat Connaughton
42,Olivier Hanlan
43,Joseph Young
44,Andrew Harrison
45,Marcus Thornton
46,Norman Powell
47,Arturas Gudaitis
48,Dakari Johnson
49,Aaron White
50,Marcus Eriksson
51,Tyler Harvey
52,Satnam Singh
53,Sir'Dominic Pointer
54,Dani Diez
55,Cady Lalanne
56,Branden Dawson
57,Nikola Radicevic
58,J.P. Tokoto
59,Dimitrios Agravanis
60,Luka Mitrovic
1,Ben Simmons
2,Brandon Ingram
3,Jaylen Brown
4,Dragan Bender
5,Kris Dunn
6,Buddy Hield
7,Jamal Murray
8,Marquese Chriss
9,Jakob Poeltl
10,Thon Maker
11,Domantas Sabonis
12,Taurean Prince
13,Georgios Papagiannis
14,Denzel Valentine
15,Juan Hernangomez
16,Guerschon Yabusele
17,Wade Baldwin
18,Henry Ellenson
19,Malik Beasley
20,Caris LeVert
21,DeAndre Bembry
22,Malachi Richardson
23,Ante Zizic
24,Timothe Luwawu
25,Brice Johnson
26,Furkan Korkmaz
27,Pascal Siakam
28,Skal Labissiere
29,Dejounte Murray
30,Damian Jones
31,Deyonta Davis
32,Ivica Zubac
33,Cheick Diallo
34,Tyler Ulis
35,Rade Zagorac
36,Malcolm Brogdon
37,Chinanu Onuaku
38,Patrick McCaw
39,David Michineau
40,Diamond Stone
41,Stephen Zimmerman
42,Isaiah Whitehead
43,Zhou Qi
44,Isaia Cordinier
45,Demetrius Jackson
46,A.J. Hammons
47,Jake Layman
48,Paul Zipser
49,Michael Gbinije
50,Georges Niang
51,Ben Bentil
52,Joel Bolomboy
53,Petr Cornelie
54,Kay Felder
55,Marcus Paige
56,Daniel Hamilton
57,Wang Zhelin
58,Abdel Nader
59,Isaiah Cousins
60,Tyrone Wallace
1,Markelle Fultz
2,Lonzo Ball
3,Jayson Tatum
4,Josh Jackson
5,De'Aaron Fox
6,Jonathan Isaac
7,Lauri Markkanen
8,Frank Ntilikina
9,Dennis Smith
10,Zach Collins
11,Malik Monk
12,Luke Kennard
13,Donovan Mitchell
14,Bam Adebayo
15,Justin Jackson
16,Justin Patton
17,D.J. Wilson
18,T.J. Leaf
19,John Collins
20,Harry Giles
21,Terrance Ferguson
22,Jarrett Allen
23,OG Anunoby
24,Tyler Lydon
25,Anzejs Pasecniks
26,Caleb Swanigan
27,Kyle Kuzma
28,Tony Bradley
29,Derrick White
30,Josh Hart
31,Frank Jackson
32,Davon Reed
33,Wesley Iwundu
34,Frank Mason
35,Ivan Rabb
36,Jonah Bolden
37,Semi Ojeleye
38,Jordan Bell
39,Jawun Evans
40,Dwayne Bacon
41,Tyler Dorsey
42,Thomas Bryant
43,Isaiah Hartenstein
44,Damyean Dotson
45,Dillon Brooks
46,Sterling Brown
47,Ike Anigbogu
48,Sindarius Thornwell
49,Vlatko Cancar
50,Mathias Lessort
51,Monte Morris
52,Edmond Sumner
53,Kadeem Allen
54,Alec Peters
55,Nigel Williams-Goss
56,Jabari Bird
57,Aleksandar Vezenkov
58,Ognjen Jaramaz
59,Jaron Blossomgame
60,Alpha Kaba
1,Deandre Ayton
2,Marvin Bagley
3,Luka Doncic
4,Jaren Jackson
5,Trae Young
6,Mohamed Bamba
7,Wendell Carter
8,Collin Sexton
9,Kevin Knox
10,Mikal Bridges
11,Shai Gilgeous-Alexander
12,Miles Bridges
13,Jerome Robinson
14,Michael Porter
15,Troy Brown
16,Zhaire Smith
17,Donte DiVincenzo
18,Lonnie Walker
19,Kevin Huerter
20,Josh Okogie
21,Grayson Allen
22,Chandler Hutchison
23,Aaron Holiday
24,Anfernee Simons
25,Moritz Wagner
26,Landry Shamet
27,Robert Williams
28,Jacob Evans
29,Dzanan Musa
30,Omari Spellman
31,Elie Okobo
32,Jevon Carter
33,Jalen Brunson
34,Devonte' Graham
35,Melvin Frazier
36,Mitchell Robinson
37,Gary Trent
38,Khyri Thomas
39,Isaac Bonga
40,Rodions Kurucs
41,Jarred Vanderbilt
42,Bruce Brown
43,Justin Jackson
44,Issuf Sanon
45,Hamidou Diallo
46,De'Anthony Melton
47,Sviatoslav Mykhailiuk
48,Keita Bates-Diop
49,Chimezie Metu
50,Alize Johnson
51,Tony Carr
52,Vince Edwards
53,Devon Hall
54,Shake Milton
55,Arnoldas Kulboka
56,Ray Spalding
57,Kevin Hervey
58,Thomas Welsh
59,George King
60,Kostas Antetokounmpo
